source,target,weight
Leith,Princes Street,28
New Town,Princes Street,18
Dundas Street,Princes Street,17
Bruntsfield,Dundas Street,16
Bruntsfield,Princes Street,16
Dundas Street,New Town,16
Dundas Street,Morningside,15
Morningside,Stockbridge,15
Princes Street,Stockbridge,15
Dundas Street,The Meadows,15
Morningside,Princes Street,15
Dundas Street,Stockbridge,15
Arthur's Seat,Leith,15
Princes Street,The Meadows,14
Leith,New Town,14
Bruntsfield,Morningside,14
Bruntsfield,New Town,14
Bruntsfield,Stockbridge,14
Queen Street,Stockbridge,13
Princes Street,Queen Street,13
Stockbridge,The Meadows,13
New Town,The Meadows,13
Holyrood,Leith,13
New Town,Stockbridge,13
Dundas Street,Queen Street,13
Morningside,Queen Street,13
Bruntsfield,The Meadows,13
Morningside,The Meadows,13
Canongate,Holyrood,13
Morningside,New Town,13
Dundas Street,Leith,12
New Town,Queen Street,12
Forth,Leith,12
Canongate,Leith,12
High Street,Leith,12
Bruntsfield,Queen Street,12
Moray Place,Princes Street,11
Moray Place,Queen Street,11
Drummond Place,Dundas Street,11
Calton Hill,Leith,11
Leith,Stockbridge,11
Drummond Place,Princes Street,11
Leith,Morningside,11
Queen Street,The Meadows,11
Dundas Street,Moray Place,11
Drummond Place,Queen Street,10
Drummond Place,Morningside,10
Drummond Place,New Town,10
Moray Place,Stockbridge,10
Moray Place,Scotland Street,10
Leith,The Meadows,10
Drummond Place,Scotland Street,10
Leith,Queen Street,10
Drummond Place,Moray Place,10
Moray Place,New Town,10
Moray Place,Morningside,10
Bruntsfield,Leith,10
Dundas Street,Scotland Street,10
Arthur's Seat,Canongate,10
Morningside,Scotland Street,10
Arthur's Seat,Holyrood,10
Princes Street,Scotland Street,10
Queen Street,Scotland Street,10
Forth,High Street,10
Cumberland Bar,Drummond Place,9
Cumberland Bar,Moray Place,9
Cumberland Bar,Queen Street,9
Bruntsfield,Moray Place,9
Cumberland Bar,Princes Street,9
Bruntsfield,Drummond Place,9
Leith,Moray Place,9
Cumberland Bar,Morningside,9
Calton Hill,Princes Street,9
Cumberland Bar,Scotland Street,9
Scotland Street,Stockbridge,9
Drummond Place,Stockbridge,9
New Town,Scotland Street,9
Arthur's Seat,Princes Street,9
Cumberland Bar,Dundas Street,9
Moray Place,The Meadows,9
Arthur's Seat,Calton Hill,9
Cumberland Bar,Stockbridge,8
Drummond Place,The Meadows,8
Drummond Place,Leith,8
Drummond Place,India Street,8
Arthur's Seat,High Street,8
Bruntsfield,Scotland Street,8
India Street,Queen Street,8
India Street,Moray Place,8
India Street,Morningside,8
India Street,Princes Street,8
India Street,Scotland Street,8
Cumberland Bar,New Town,8
Leith,Scotland Street,8
Scotland Street,The Meadows,8
Dundas Street,India Street,8
Cumberland Bar,The Meadows,7
Leith,Pilrig,7
Bruntsfield,India Street,7
Canongate,High Street,7
Bruntsfield,Cumberland Bar,7
Cumberland Bar,Leith,7
Cumberland Bar,India Street,7
Dundas Street,Howe Street,7
Leith Walk,Princes Street,7
Howe Street,Princes Street,7
India Street,Stockbridge,7
Howe Street,The Meadows,7
Howe Street,New Town,7
Leith,West End,7
Howe Street,Morningside,7
India Street,New Town,7
India Street,The Meadows,7
Leith,Niddrie,7
Arthur's Seat,Forth,7
High Street,Holyrood,7
Leith,Leith Walk,7
