id,text,lat,lon,sector,method
90,Old Town,55.9471293,-3.2002511,Old Town,exact
91,Edinburgh,55.949428,-3.192704,Old Town,exact
184,Musselburgh,55.9421202,-3.0538516,Portobello/Craigmillar,nearest(0.021044)
185,Holyrood,55.9498473,-3.183502,Old Town,exact
186,Auld Reekie,55.949428,-3.192704,Old Town,exact
187,Prince's Street,55.9526,-3.193,New Town,exact
188,Calton Hill,55.9556726,-3.1824089,Leith,nearest(0.002286)
189,Firth of Forth,56.058,-3.0198,Outer Scotland,outside
191,St. Giles's,55.9493396,-3.1905294,Old Town,exact
193,Nelson Monument,55.9544051,-3.1827724,New Town,nearest(0.001571)
194,Prince's Street Gardens,55.9497435,-3.2019502,New Town,exact
202,St. Giles,55.9493396,-3.1905294,Old Town,exact
204,Scott Monument,55.952389,-3.193253,New Town,exact
205,High Street,55.9501,-3.1882,Old Town,exact
206,Canongate,55.9515,-3.1793,Canongate,exact
207,Holyrood Palace,55.952512,-3.173385,Canongate,exact
208,Salisbury Crags,55.9458711,-3.1740706,Craigentinny/Duddingston,exact
210,New Town,55.9583198,-3.1992422,New Town,exact
211,Granton,55.9785756,-3.2250203,Forth,exact
212,Leith,55.9757865,-3.1680197,Leith,exact
214,Grassmarket,55.9474,-3.196,Old Town,exact
215,West Port,55.9464,-3.1999,Old Town,exact
216,Bruntsfield Links,55.9409752,-3.1985839,South Central,exact
217,Morningside,55.9274145,-3.2106492,South Central,exact
219,Mons Meg,55.9487741,-3.2001579,Old Town,exact
223,Castle Street,55.9521,-3.2033,New Town,exact
227,North Bridge,55.9518,-3.1883,New Town,exact
228,Prince's Gardens,55.9497435,-3.2019502,New Town,exact
229,Waverley Station,55.951727,-3.191506,New Town,exact
239,Greyfriars Church,55.9466769,-3.1926782,Old Town,exact
243,Duddingstone,55.9420116,-3.1506163,Craigentinny/Duddingston,exact
247,Forth,56.054591,-3.718683,Outer Scotland,outside
251,Harmony House,55.930155,-3.204209,South Central,exact
253,Water of Leith,55.9794536,-3.1711848,Leith,exact
254,Dean Cemetery,55.950909,-3.222725,Inverleith,exact
255,Heart of Midlothian,55.9495655,-3.1914772,Old Town,exact
257,Corstorphine,55.9446703,-3.2817379,Western Edinburgh,exact
258,Linlithgow,55.97748,-3.585477,Outer Scotland,outside
442,Argyle Place,55.939,-3.1915,South Central,exact
443,Regent Street,55.9533,-3.1115,Portobello/Craigmillar,exact
450,Assembly Rooms,56.001808,-2.51397,Outer Scotland,outside
498,Buckstone,55.9099122,-3.2113993,South Central,exact
526,Stockbridge,55.957963,-3.2094115,Inverleith,exact
527,Danube Street,55.9568,-3.212,Inverleith,exact
528,Princes Street,55.9511,-3.2014,New Town,exact
535,Swanston,55.8956657,-3.2181884,Pentlands,exact
537,Market Street,55.942721,-3.066249,Portobello/Craigmillar,nearest(0.010021)
538,Heriot Row,55.9553,-3.2023,New Town,exact
539,Moray Place,55.9541541,-3.2090472,New Town,exact
540,Broughton Place,55.9587,-3.1887,New Town,nearest(0.000627)
544,Cauldhame Farm,55.961776,-3.583041,Outer Scotland,outside
547,Muirend,55.9217611,-3.4451248,Outer Scotland,outside
551,Frederick Street,55.9529,-3.2004,New Town,exact
552,Queen Street,55.9546,-3.2002,New Town,exact
555,Cowgate,55.9487,-3.1876,Old Town,exact
556,Prince's Street,55.9511,-3.2014,New Town,exact
564,Canongate,55.9523547,-3.1761031,Canongate,exact
567,Princes Street,55.9518,-3.1985,New Town,exact
571,Niddry Mains,55.959562,-3.448216,Outer Scotland,outside
584,Royal Scottish Academy,55.9518634,-3.1964118,New Town,exact
587,Edina,55.949428,-3.192704,Old Town,exact
686,Haymarket,55.9443862,-3.2187438,South West,exact
691,Leith Walk,55.9618,-3.1804,Leith,exact
694,Edinburgh Academy,55.960711,-3.205462,Inverleith,exact
700,West End,55.9528781,-3.2107041,New Town,exact
714,Embro,55.949428,-3.192704,Old Town,exact
727,Crichton,55.83847,-2.959602,Liberton/Gilmerton,nearest(0.144953)
759,Arthur's Seat,55.94194,-3.153004,Craigentinny/Duddingston,exact
764,Dunedin,55.949428,-3.192704,Old Town,exact
765,Queen's Arms,55.9536518,-3.2005421,New Town,exact
901,Duke's Head,55.9701199,-3.1699843,Leith,exact
948,Edinburgh Castle,55.94867,-3.200924,Old Town,exact
949,Tolbooth,55.949616,-3.191541,Old Town,exact
956,Leith Street,55.9549,-3.1869,New Town,exact
957,Market Street,55.9427,-3.0619,Portobello/Craigmillar,nearest(0.013520)
993,Gordon Arms,55.9516823,-3.2039774,New Town,exact
1013,The Causeway,55.9424,-3.1471,Craigentinny/Duddingston,exact
1068,Carberry,55.9179514,-3.0268543,Portobello/Craigmillar,nearest(0.053821)
1076,Nor Loch,55.950135,-3.200252,New Town,exact
1077,Lawnmarket,55.9493,-3.1936,Old Town,exact
1078,West Bow,55.9482,-3.1945,Old Town,exact
1079,Cowgate,55.948,-3.1927,Old Town,exact
1083,Bristo Port,55.9466,-3.1903,Old Town,exact
1084,Grassmarket,55.946734,-3.19771,Old Town,exact
1085,Black Turnpike,55.949964,-3.187993,Old Town,exact
1087,St. Giles',55.9493396,-3.1905294,Old Town,exact
1090,Tron,55.949965,-3.187833,Old Town,exact
1092,Potterrow,55.9461,-3.189,Old Town,exact
1093,Greyfriars,55.9468,-3.1914,Old Town,exact
1101,Dalkeith,55.8943342,-3.0713975,Liberton/Gilmerton,nearest(0.020215)
1102,Little France,55.9176624,-3.1333676,Liberton/Gilmerton,exact
1104,Haddington,55.952639,-2.800838,Outer Scotland,outside
1105,Craigmillar,55.9337616,-3.1381701,Portobello/Craigmillar,exact
1108,Musselburgh,55.942872,-3.048641,Portobello/Craigmillar,nearest(0.025771)
1123,Port of Leith,55.9793856,-3.1695676,Leith,exact
1127,Gladhouse,55.7782,-3.116596,Outer Scotland,outside
1137,Dechmont,55.920625,-3.540907,Outer Scotland,outside
1145,Linlithgow,55.976671,-3.585444,Outer Scotland,outside
1148,Niddrie,55.9313817,-3.1221785,Portobello/Craigmillar,exact
1151,Drylaw,55.9628377,-3.2540411,Inverleith,exact
1156,Kirkgate,55.895221,-3.307136,Pentlands,exact
1166,Roslin,55.8573318,-3.1674351,Liberton/Gilmerton,nearest(0.032450)
1169,Queen's Theatre,55.955951,-3.187664,New Town,exact
1199,Prestonpans,55.955002,-2.994515,Portobello/Craigmillar,nearest(0.079180)
1200,Portobello,55.9528635,-3.1145573,Portobello/Craigmillar,exact
1202,Arthur's Seat,55.943718,-3.154978,Craigentinny/Duddingston,exact
1205,George Hotel,55.9538896,-3.1964354,New Town,exact
1206,George Square,55.9442,-3.1893,South Central,exact
1214,The George Hotel,55.9538896,-3.1964354,New Town,exact
1235,Union Bank of Scotland,55.951246,-3.10828,Portobello/Craigmillar,exact
