"id","docid","title","pubdate","type","author","majlang","collection_id","url"
1,"000058333_2","Varieties in Prose","1893-01-01",NULL,"Allingham, William","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000058333-02"
2,"000116525_1","Nelly Armstrong: a story of the day. By the author of “Rose Douglas” [i.e. S. R. Whitehead]","1853-01-01",NULL,"Armstrong, Nelly","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000116525-01"
3,"000116525_2","Nelly Armstrong: a story of the day. By the author of “Rose Douglas” [i.e. S. R. Whitehead]","1853-01-01",NULL,"Armstrong, Nelly","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000116525-02"
4,"000155010","Braes o' Balquhidder. A novel","1896-01-01",NULL,"Aytoun, Douglas","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000155010"
5,"000171405","England from a Back-Window; with views of Scotland and Ireland","1879-01-01",NULL,"Bailey, James Montgomery","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000171405"
6,"000240159","Secretar. Founded on the story of the Casket Letters","1897-01-01",NULL,"Beatty, W.","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000240159"
7,"000247793","A Tour in Tartan-Land","1863-01-01",NULL,"Bede, Cuthbert","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000247793"
8,"000300859_1","Story of a Stolen Heir. A novel","1858-01-01",NULL,"Bertram, James Glass","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000300859-01"
9,"000300859_2","Story of a Stolen Heir. A novel","1858-01-01",NULL,"Bertram, James Glass","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000300859-02"
10,"000300859_3","Story of a Stolen Heir. A novel","1858-01-01",NULL,"Bertram, James Glass","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000300859-03"
11,"000495295","Early Travellers in Scotland. Edited by P. Hume Brown. [With maps.]","1891-01-01",NULL,"Brown, Peter Hume","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000495295"
12,"000582149","House of Achendaroch. An old maid's story","1878-01-01",NULL,"Cameron, Mary Emily","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000582149"
13,"000584472","Deilie Jock","1897-01-01",NULL,"Campbell, C. M.","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000584472"
14,"000638170","Hanleys; or, Wheels within wheels",NULL,NULL,"Caumont, Mary","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000638170"
15,"000652638","Renegade. A novel","1895-01-01",NULL,"Chalmers, James","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000652638"
16,"000736158","Abroad. Journal of a tour through Great Britain and on the Continent","1868-01-01",NULL,"Coghill, James Henry","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000736158"
17,"000741438","Curly. An actor's story, related by J. Coleman, etc","1885-01-01",NULL,"Coleman, John","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000741438"
18,"000753498","A Bit of the Tartan; or, Two fragments of romance","1895-01-01",NULL,"Colquhoun, Frances Mary","eng",1,"https://historicaltexts.jisc.ac.uk/bl-000753498"
