"id","text","lat","lon","in_country","gazref","feature_type","pop_size","geom","poly","ptype"
90,"Old Town",55.9471293,-3.2002511,NULL,"pg8399",NULL,NULL,"0101000020E61000007AE7AB3F1D9A09C0AC4A6C883BF94B40","0103000020E610000001000000500000007B2DE8BD31A409C02CBD91D49DF94B401B61F65734A209C0C07EE3C688F94B4064986E6D3CA309C091F4C4CE6FF94B40E95F3711A2A109C0B44B659B65F94B4022895E46B19C09C0897D022846F94B406DA1759EC29B09C0442564D641F94B409E019AAD619B09C0A405C31440F94B40572250FD839809C0D3E5835440F94B408A63134F2C9609C009E5D8D53FF94B40490CA771149509C0A18E7D7F39F94B40276728EE789309C09301A08A1BF94B40CDBE3CAE579209C073D30BE313F94B4056061F94418F09C0FB73D190F1F84B40DCBC7152988709C0D6F0E31E01F94B4048E7B287AC8409C0F61E78C608F94B40EE3EC7478B8309C0D8B221A413F94B407ED7B15B158209C07C725EAD24F94B408556CCADB57C09C020329BB635F94B40274BADF71B7D09C0E6B809AD3DF94B40D54D18833D7C09C0FDC0559E40F94B4040283971837B09C00D7CFB2944F94B4009FF2268CC7409C00393C08B63F94B40B9991B1DA17009C05FB12BD269F94B40269C27E8407009C058816B3876F94B403BBA5BA32F6E09C04BE1E6F978F94B4042D13C80456E09C00695021C8CF94B4045CA60D6D56E09C0CCBF4CCA93F94B40DED9684AFC6B09C022F6AEE6A5F94B409248916BF96709C0573D0565BFF94B40F3542C239A6509C01292BBBEC5F94B40C78AD0BEA86309C011B754EFBAF94B40CFD1F4238F6109C0CAE42F88A3F94B40CE1B2785795F09C0B896242AAFF94B4066BB421F2C5309C0AD03D660D0F94B402956B2086A4D09C073D53C47E4F94B402D4D00B49C4A09C095D00259F4F94B40ECC9B216554509C0625D26D41DFA4B4003774595064309C02EAA454431FA4B403D997FF44D4A09C015EC754133FA4B40A7583508734B09C06D11627836FA4B401382B0AE654D09C066EC95C338FA4B4032B0E99CFA4B09C050A50B5641FA4B4028A0E469544B09C0254E380543FA4B40D4B25A05D64609C0DD3F16A243FA4B4055FA0967B74609C0ACC3769C47FA4B40DDCD531D725309C01CF22AC654FA4B4048687000A25509C081B79B3B55FA4B403A611D22C95709C0EDA1D86553FA4B4093D453F53C5909C0082DDAD259FA4B40BBA8CC83AA5709C0A92226F26EFA4B40B098C750045709C078A686EC72FA4B403B151516815609C09956540E77FA4B40598F56105E5609C00E338F577BFA4B4052955BFF535609C0902859F388FA4B402B65BE28E65509C0FDFFEED3A7FA4B40F315EEA6A55309C0D9E7D610C1FA4B4054F0CAE48A5109C081CB63CDC8FA4B407EA026440A4F09C036296096D1FA4B4086F35FD67A5509C0ACAD3319E9FA4B4009771D609C5E09C0BC010B0511FB4B40F9646AB7025F09C010CCD1E3F7FA4B4090EFF730206009C023E3079DC6FA4B40EF0A3323726009C000E07DFA74FA4B40518369183E6209C0AE85B4215AFA4B406D776A89F06A09C07F1475E61EFA4B403BDFF4D3246D09C074AB313212FA4B403185BD3F946E09C0FAD577D90AFA4B40A94D9CDCEF7009C0037D7D0805FA4B4013E8B8BF1F7309C0C90EE0E302FA4B40C938EBF8D47609C0D6636C32F4F94B4005EA831BDF7D09C027648CB4F9F94B4008E3A7716F7E09C0C6979A4EFCF94B4013F3ACA4157F09C0582B24AA01FA4B4002A72D64647F09C0F3B0AB240DFA4B4009BE0E417A7F09C00FE6C0BC11FA4B4097E9F2412A9009C02CCD5257E3F94B40CBBDC0AC509409C01BCFB1CDD7F94B40BFE1F4E4509509C0F8BC87F0D4F94B407890E8AFA1A509C0094C4CBCA8F94B407B2DE8BD31A409C02CBD91D49DF94B40","suburb"
91,"Edinburgh",55.949428,-3.192704,NULL,"pg4056",NULL,NULL,"0101000020E610000092770E65A88A09C00EF450DB86F94B40",NULL,NULL
184,"Musselburgh",55.9421202,-3.0538516,NULL,"pg7830",NULL,NULL,"0101000020E6100000BDB266BF496E08C053F30B6597F84B40",NULL,NULL
185,"Holyrood",55.9498473,-3.183502,NULL,"pg5657",NULL,NULL,"0101000020E6100000360186E5CF7709C0D2D8A89894F94B40","0103000020E61000000100000014000000360186E5CF7709C0D2D8A89894F94B40D5D237C4D37609C0B4290DEB7CF94B400AAE03311A7309C0E1F725D181F94B402136FD7ED67109C0E1AC2DE175F94B40269C27E8407009C058816B3876F94B403BBA5BA32F6E09C04BE1E6F978F94B4042D13C80456E09C00695021C8CF94B4045CA60D6D56E09C0CCBF4CCA93F94B40DED9684AFC6B09C022F6AEE6A5F94B4088180A33C86809C07BB07BE184F94B4023049ABE8D6309C02294522BA7F94B40C78AD0BEA86309C011B754EFBAF94B40E9818FC18A6309C0DB8F6F4AD4F94B40470B2B700D6709C0EDF5EE8FF7F94B40B20A4048BB6609C05E38C604EBF94B40E1496650C86909C05E770481DFF94B40A9A8554F416909C00D1247C3CEF94B4045CA60D6D56E09C0188E31C1BAF94B40EEB25F77BA7309C0226C787AA5F94B40360186E5CF7709C0D2D8A89894F94B40","neighbourhood"
186,"Auld Reekie",55.949428,-3.192704,NULL,"pg4058",NULL,NULL,"0101000020E610000092770E65A88A09C00EF450DB86F94B40",NULL,NULL
187,"Prince's Street",55.9526,-3.193,NULL,"pg9133",NULL,NULL,"0101000020E610000025068195438B09C0B515FBCBEEF94B40",NULL,NULL
188,"Calton Hill",55.9556726,-3.1824089,NULL,"pg1764",NULL,NULL,"0101000020E6100000A3FE1FCC927509C07657D17A53FA4B40","0103000020E61000000100000046000000132C0E677E7509C0F59782DA14FA4B4001D072EA147509C07E7B8D1315FA4B40D50792770E7509C0319CC65114FA4B40A93FB104087509C08BB9B59613FA4B40E0FD4C18287409C03D30DBA914FA4B40ECD918E0277309C0EFA600BD15FA4B400FA5AC95BF7109C0B2F8A81A18FA4B40C66D3480B77009C0B767F1BD1AFA4B40DB1C42F0537009C0C26B97361CFA4B40A1702CDE7E6F09C06C5B94D920FA4B404453D1B3B46E09C0A5EBD33B26FA4B407AA702EE796E09C098A7734529FA4B40AEBB79AA436E09C01F51FC732CFA4B40215624CBEE6E09C04648388831FA4B4011F5CCDC8D6F09C07344639236FA4B40451960D50F7009C088D0AD7C3BFA4B400C8A8B48B97009C0D2C5A69542FA4B40AFF5FBB4407109C0A58A3D0F49FA4B4043A44BA4D97109C05A1C846F50FA4B40C9AD49B7257209C0B1975C7B55FA4B40DC46A8BE987209C0E835D1425DFA4B4087753E97047309C09DB3AACA63FA4B40B2255069697309C0A6E727E66AFA4B404F0647C9AB7309C0D9E841E66FFA4B409DCDF45CF07309C0C9F4955176FA4B40AF5E4546077409C0699E6D7F78FA4B401C4C7963F77309C0FD71B15879FA4B40BE721827197409C05C8E57207AFA4B40FDEB2642347409C0B577FCCD7AFA4B4037A8FDD64E7409C04BC741AE79FA4B40B102D770EC7409C0753282D778FA4B406759411DA07509C09E4FD31D7AFA4B406228CC20E37609C092FD3DC27AFA4B406F4E80BCB27609C0F5D0E39C7DFA4B408AE4D0C7217709C08FD1F01C80FA4B404C3CFB253D7709C0600BD5287FFA4B40DE6BADD4587709C0C518FD0D7FFA4B40BBA8CC83AA7709C0EE91729C80FA4B40C5591135D17709C0A6CB07A980FA4B40BEB6C887EA7709C0C52C6AE67FFA4B40C15D51A5C17809C053F87D4974FA4B40502D6C17E47809C096218E7571FA4B407AB5920CEF7809C085741D4F70FA4B4088C965ED007909C062A4726E6EFA4B40EAB0C22D1F7909C0CF7A42C06BFA4B40319B5B7C657909C03C0F931568FA4B4092301D84CA7909C031C96DA065FA4B404ADC195C297A09C07BE3FFE961FA4B40CECA51DBE17A09C0862C1C5256FA4B40F07A7AB6587B09C0DEEC6A4D4EFA4B40699082A7907B09C02707FD964AFA4B40C091E5C9DA7B09C02F7AB82E46FA4B40C8444AB3797C09C0167F25A13EFA4B40F09CD266417D09C0EA46B30D37FA4B40802D0A16E27C09C0986835C934FA4B4060B58D9A0A7C09C0DB977D6830FA4B401598045E1C7B09C03C7E141A2DFA4B409CB9D1110A7B09C0624CFA7B29FA4B4000C40204187B09C04C8C65FA25FA4B40684EA8F11C7B09C007D8A26021FA4B404EC065040A7B09C007D8A26021FA4B4087E8C6AAF77A09C01915826621FA4B40C37D891D327A09C0DD2AE33A21FA4B40D3BCE3141D7909C09C55FA6420FA4B4059CE948C527809C03E25E7C41EFA4B40946357FF8C7709C0800640811CFA4B40AA471ADCD67609C0E148FB7A19FA4B409654127E4E7609C0C53BC09316FA4B407BBBCA7FED7509C0B3BC619115FA4B40132C0E677E7509C0F59782DA14FA4B40","natural"
189,"Firth of Forth",56.058,-3.0198,NULL,"pg1",NULL,NULL,"0101000020E6100000B8AF03E78C2808C08195438B6C074C40",NULL,NULL
191,"St. Giles's",55.9493396,-3.1905294,NULL,"pg10912",NULL,NULL,"0101000020E61000007A692F47348609C01C66C3F583F94B40","0103000020E610000001000000180000007A692F47348609C01C66C3F583F94B403C4ACA822E8609C09F7829D082F94B4083442454BA8509C0D5B9FD4D83F94B40173D015EB08509C075971F1384F94B400863FA14B68509C00F7052E284F94B402F8B89CDC78509C0924E6E2585F94B40150555FE108609C039EFFFE384F94B40F3B3ECA4198609C0F17E81C586F94B40BDA94885B18509C0A33D5E4887F94B40E62E7887CA8509C029379BD88DF94B4085573783648609C00B0A83328DF94B409B2B39DD688609C0E12879758EF94B40DCD440F3398709C07CD9D1938DF94B40F04BA203378709C0940733B78CF94B4036583849F38709C0E2EC31EC8BF94B401BAA189DE28709C06D58AE1287F94B4091D10149D88709C075971F1384F94B40273C574A858709C016EB0A6C84F94B40FB7376D77E8709C088DA368C82F94B401F1A715C218709C04CA8E0F082F94B40866753BF1C8709C08293C89981F94B405A23CCFE8A8609C0CF447D3782F94B403FCF55A98F8609C08117C79283F94B407A692F47348609C01C66C3F583F94B40","building"
193,"Nelson Monument",55.9544051,-3.1827724,NULL,"pg7864",NULL,NULL,"0101000020E610000036E44460517609C05CD141F229FA4B40","0103000020E6100000010000001100000036E44460517609C05CD141F229FA4B40001C7BF65C7609C0C154336B29FA4B40AA054026637609C0B003E78C28FA4B408797F100607609C0695721E527FA4B406E46729E567609C081E1A65027FA4B40FC613A634E7609C01645590927FA4B40E0B31AB73D7609C0B1ADFAB726FA4B4030B374AA217609C03A35E1A826FA4B40578451FF0F7609C03F96F4E626FA4B40DFC5FB71FB7509C0BCF957A027FA4B40112E2E9FF67509C00FB0FB3328FA4B40751B79C5F87509C03E76172829FA4B40588748F2017609C026EC91BC29FA4B40251C1FD2147609C02CA9C9422AFA4B409FFA511E277609C0911216702AFA4B40B988940B3A7609C0D8D880632AFA4B4036E44460517609C05CD141F229FA4B40","building"
