"id","text","start_word","end_word","document_id","location_id","page_id","sentence_id"
183,"Old Town","w81489","w81493",1,90,1,183
184,"Edinburgh","w81501","w81501",1,91,1,184
227,"Old Town","w92542","w92546",1,90,1,227
386,"Musselburgh","w149145","w149145",1,184,1,386
388,"Holyrood","w149446","w149446",1,185,1,388
389,"Auld Reekie","w150194","w150199",1,186,1,389
390,"Prince's Street","w150270","w150279",1,187,1,390
391,"Old Town","w150521","w150525",1,90,1,391
392,"Calton Hill","w151118","w151125",1,188,1,392
393,"Edinburgh","w151224","w151224",1,91,1,393
395,"Prince's Street","w151292","w151301",1,187,1,395
396,"Firth of Forth","w151342","w151351",1,189,1,396
398,"Edinburgh","w151462","w151462",1,91,1,398
399,"Edinburgh","w152041","w152041",1,91,1,399
400,"St. Giles's","w152584","w152593",1,191,1,400
401,"Calton Hill","w152929","w152936",1,188,1,401
403,"Nelson Monument","w153163","w153170",1,193,1,403
404,"Prince's Street Gardens","w153548","w153564",1,194,1,404
405,"Old Town","w153880","w153884",1,90,1,405
406,"Edinburgh","w154949","w154949",1,91,1,406
412,"Edinburgh","w166909","w166909",1,91,1,412
414,"Edinburgh","w169150","w169150",1,91,1,414
418,"Edinburgh","w170186","w170186",1,91,1,418
419,"St. Giles","w171506","w171510",1,202,1,419
421,"Edinburgh","w172608","w172608",1,91,1,421
422,"Edinburgh","w172905","w172905",1,91,1,422
423,"Prince's Street","w173150","w173159",1,187,1,423
424,"Old Town","w173271","w173275",1,90,1,424
425,"Scott Monument","w173371","w173377",1,204,1,425
426,"High Street","w173488","w173493",1,205,1,426
427,"Canongate","w173831","w173831",1,206,1,427
428,"Holyrood Palace","w174241","w174250",1,207,1,428
429,"Canongate","w174420","w174420",1,206,1,429
430,"Salisbury Crags","w174449","w174459",1,208,1,430
432,"Edinburgh","w176384","w176384",1,91,1,432
433,"New Town","w176525","w176529",1,210,1,433
434,"Firth of Forth","w176721","w176730",1,189,1,434
435,"Granton","w176745","w176745",1,211,1,435
436,"Leith","w176783","w176783",1,212,1,436
438,"Old Town","w176904","w176908",1,90,1,438
439,"Grassmarket","w177149","w177149",1,214,1,439
440,"West Port","w177173","w177178",1,215,1,440
441,"Bruntsfield Links","w177311","w177323",1,216,1,441
442,"Morningside","w177333","w177333",1,217,1,442
444,"Mons Meg","w177552","w177557",1,219,1,444
455,"Castle Street","w181002","w181009",1,223,1,455
459,"Edinburgh","w188910","w188910",1,91,1,459
461,"Grassmarket","w189498","w189498",1,214,1,461
462,"Prince's Street","w190519","w190528",1,187,1,462
